"GEO_ID","NAME","B25089_001E","B25089_001EA","B25089_001M","B25089_001MA","B25089_002E","B25089_002EA","B25089_002M","B25089_002MA","B25089_003E","B25089_003M","B25089_003MA","B25089_003EA",
"0500000US42091","Montgomery County, Pennsylvania","459236200","null","4736253","null","389351500","null","5393645","null","69884700","1860147","null","null",
"0500000US42093","Montour County, Pennsylvania","5960400","null","451176","null","4531500","null","457767","null","1429000","175162","null","null",
"0500000US42095","Northampton County, Pennsylvania","127330200","null","2462680","null","104334900","null","2621445","null","22995400","994523","null","null",
"0500000US42097","Northumberland County, Pennsylvania","23905700","null","743597","null","17337900","null","807641","null","6567800","280838","null","null",
"0500000US42099","Perry County, Pennsylvania","16864900","null","490001","null","13812500","null","544223","null","3052400","182010","null","null",
"0500000US42101","Philadelphia County, Pennsylvania","407083300","null","6793058","null","329826200","null","6595385","null","77257100","2782205","null","null",
"0500000US42103","Pike County, Pennsylvania","25559200","null","839954","null","20903100","null","939906","null","4656100","364110","null","null",
"0500000US42105","Potter County, Pennsylvania","4146100","null","228685","null","2799500","null","214201","null","1346600","67511","null","null",
"0500000US42107","Schuylkill County, Pennsylvania","39888100","null","1074915","null","28437100","null","1131555","null","11451000","408503","null","null",
"0500000US42109","Snyder County, Pennsylvania","10865000","null","480525","null","8187000","null","513646","null","2678000","197088","null","null",
"0500000US42111","Somerset County, Pennsylvania","19639300","null","640487","null","13809800","null","743502","null","5829500","265088","null","null",
"0500000US42113","Sullivan County, Pennsylvania","1739300","null","134890","null","1231100","null","142950","null","508200","48976","null","null",
"0500000US42115","Susquehanna County, Pennsylvania","11767700","null","363738","null","8335800","null","396097","null","3431900","146569","null","null",
"0500000US42117","Tioga County, Pennsylvania","11162100","null","420261","null","7710200","null","455641","null","3451900","171627","null","null",
"0500000US42119","Union County, Pennsylvania","11511700","null","701421","null","8768100","null","700472","null","2743600","258388","null","null",
"0500000US42121","Venango County, Pennsylvania","12362800","null","469328","null","8492100","null","468845","null","3870800","188985","null","null",
"0500000US42123","Warren County, Pennsylvania","9792900","null","367275","null","6543500","null","433255","null","3249400","168644","null","null",
"0500000US42125","Washington County, Pennsylvania","75421600","null","1760244","null","59313200","null","1867908","null","16108400","614408","null","null",
"0500000US42127","Wayne County, Pennsylvania","17150500","null","720464","null","12434400","null","829113","null","4716000","283512","null","null",
"0500000US42129","Westmoreland County, Pennsylvania","126341500","null","1993367","null","96924400","null","2266252","null","29417200","707554","null","null",
"0500000US42131","Wyoming County, Pennsylvania","8556200","null","317981","null","6278800","null","325183","null","2277500","131214","null","null",
"0500000US42133","York County, Pennsylvania","178663300","null","2854806","null","146659500","null","3023280","null","32003900","1179632","null","null",
